Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
11,1,La Revelia 2021,Wine Cellar,159,,159,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/La Revelia 2021.jpg,,0,Region:Bierzo ; Grape Type:100% Godello; Serving Temperature:8-10 C; Ageing Process:Several months in French Oak Barrels; Culinary Recommendations:Seafood - Lobster - Scallops - Roast Chiken - Paella - Creamy Risotto - Soft Cheeses - Brie - Goat Cheese,0,new,0,0,0,0,0,,,,,0,0,0,0,
12,1,Artadi Viñas de Gain Blanco 2019,Wine Cellar,170,,170,0,,,,,,,,Artadi,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Artadi Viñas de Gain Blanco 2019.jpg,,0,Region:Rioja; Grape Type:100% Viura; Serving Temperature:10-12 C; Ageing Process:Few months in French Oak Barrels; Culinary Recommendations:Seafood - Light Salads - White Meat - Soft Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
13,1,Artadi Viñas de Gain Tinto 2020/21/22,Wine Cellar,185,,185,0,,,,,,,,Artadi,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Artadi Viñas de Gain Tinto 2020/21/22.jpg,,0,Region:Rioja; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Red Meats - Grilled Lamb - Game - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
14,1,Artadi Poza de Ballesteros 2022,Wine Cellar,749,,749,0,,,,,,,,Artadi,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Artadi Poza de Ballesteros 2022.jpg,,0,Region:Rioja; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 - 18 months in French Oak Barrels; Culinary Recommendations:Game Meats - Roast Beef - Charcuterie - Mature Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
15,1,Artadi Valdegines 2021/2022,Wine Cellar,349,,349,0,,,,,,,,Artadi,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Artadi Valdegines 2021/2022.jpg,,0,Region:Rioja; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Red Meats - Pasta with meat sauces - Tapas - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
16,1,Artadi El Carretil 2022,Wine Cellar,1199,,1199,0,,,,,,,,Artadi,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Artadi El Carretil 2022.jpg,,0,Region:Rioja; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 - 18 months in French Oak Barrels; Culinary Recommendations:Lamb - Beef Wellington - Venison - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
17,1,Pasos de San Martín 2019,Wine Cellar,129,,129,0,,,,,,,,Artazu,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Pasos de San Martín 2019.jpg,,0,Region:Navarra; Grape Type:100% Garnacha; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Grilled Lamb - Poultry - Tapas - Semi-cured Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
18,1,Santa Cruz de Artazu Tinto 2021,Wine Cellar,230,,230,0,,,,,,,,Artazu,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Santa Cruz de Artazu Tinto 2021.jpg,,0,Region:Navarra; Grape Type:100% Garnacha; Serving Temperature:16-18 C; Ageing Process:12-16 months in French Oak Barrels; Culinary Recommendations:Grilled Meats - Pork - Pasta Dishes - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
19,1,Santa Cruz de Artazu Blanco 2019,Wine Cellar,159,,159,0,,,,,,,,Artazu,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Santa Cruz de Artazu Blanco 2019.jpg,,0,Region:Navarra; Grape Type:100% Garnacha Blanca; Serving Temperature:10-12 C; Ageing Process:Fermented and Aged in French Oak Barrels; Culinary Recommendations:Seafood - Poultry - Light Cheeses - Salads,0,new,0,0,0,0,0,,,,,0,0,0,0,
20,1,El Seque 2021,Wine Cellar,169,,169,0,,,,,,,,El Seque,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/El Seque 2021.jpg,,0,Region:Alicante; Grape Type:100% Monastrell; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Grilled Meats - Spicy Stews - Game - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
21,1,Viña el Pisón 2022 100 peñin,Wine Cellar,1990,,1990,0,,,,,,,,El Pisón,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Viña el Pisón 2022 100 peñin.jpg,,0,Region:Rioja; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12-18 months in French Oak Barrels; Culinary Recommendations:High Quality Red Meaat - Wagyu - Game - Rich Stews,0,new,0,0,0,0,0,,,,,0,0,0,0,
22,1,Izar Leku Sparklin 2018,Wine Cellar,185,,185,0,,,,,,,,Izar Leku,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Izar Leku Sparklin 2018.jpg,,0,Region:Getariako Txakolina; Grape Type:100% Hondarrabi Zuri; Serving Temperature:6-8 C; Ageing Process:Traditional Champagne Method - Extended ageing on lees; Culinary Recommendations:Seafood - Sushi - Oysters - Light Tapas,0,new,0,0,0,0,0,,,,,0,0,0,0,
23,1,Jose Pariente Verdejo 2022,Wine Cellar,79,,79,0,,,,,,,,Jose Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Jose Pariente Verdejo 2022.jpg,,0,Region:Rueda; Grape Type:100% Verdejo; Serving Temperature:8-10 C; Ageing Process:Short period on fine lees in stainless steel; Culinary Recommendations:Seafood - Grilled Vegetables - Salads - Light Pasta Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
24,1,Jose Pariente Sauvignon 2022,Wine Cellar,79,,79,0,,,,,,,,Jose Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Jose Pariente Sauvignon 2022.jpg,,0,Region:Rueda; Grape Type:100% Sauvignon Blanc; Serving Temperature:8-10 C; Ageing Process:Stainless Steel; Culinary Recommendations:Oysters - Salads - Grilled Fish - Light Pasta,0,new,0,0,0,0,0,,,,,0,0,0,0,
25,1,Jose Pariente Barrica 2022 (Organic),Wine Cellar,120,,120,0,,,,,,,,Jose Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Jose Pariente Barrica 2022 (Organic).jpg,,0,Region:Rueda; Grape Type:100% Verdejo; Serving Temperature:10-12 C; Ageing Process:Several months in French Oak Barrels; Culinary Recommendations:Roasted Chiken - Seafood Risotto - Creamy Pasta Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
26,1,Jose Pariente Apasionado 2021 (Organic),Wine Cellar,90,,90,0,,,,,,,,Jose Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Jose Pariente Apasionado 2021 (Organic).jpg,,0,Region:Rueda; Grape Type:Verdejo/Sauvignon Blanc; Serving Temperature:8-10 C; Ageing Process:Stainless Steel; Culinary Recommendations:Tacos - Spicy Asian Cuisine - Grilled Fish,0,new,0,0,0,0,0,,,,,0,0,0,0,
27,1,Jose Pariente Finca Las Comas  2021,Wine Cellar,219,,219,0,,,,,,,,Jose Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Jose Pariente Finca Las Comas  2021.jpg,,0,Region:Rueda; Grape Type:100% Verdejo; Serving Temperature:10-12 C; Ageing Process:Several months in French Oak Barrels; Culinary Recommendations:Rich Seafood Dishes - White Meats - Creamy Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
28,1,Jose Pariente Cuvee Especial 2022,Wine Cellar,199,,199,0,,,,,,,,Jose Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Jose Pariente Cuvee Especial 2022.jpg,,0,Region:Rueda; Grape Type:Blend of Verdejo; Serving Temperature:8-10 C; Ageing Process:Combination of Stanless Steel and Oak; Culinary Recommendations:Seafood Paella - Grilled Vegetables - Spicy Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
29,1,Victoria Rose,Wine Cellar,79,,79,0,,,,,,,,Jose Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Victoria Rose.jpg,,0,Region:Rueda; Grape Type:Blend of Garnacha and Tempranillo; Serving Temperature:8-10 C; Ageing Process:Stainless Steel Tank; Culinary Recommendations:Light Salads - Seafood - Pasta - Charcuterie,0,new,0,0,0,0,0,,,,,0,0,0,0,
30,1,Origen Prieto Pariente 2019,Wine Cellar,149,,149,0,,,,,,,,Prieto Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Origen Prieto Pariente 2019.jpg,,0,Region:Castilla y León; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Grilled Meats - Lamb - Stews - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
31,1,Confines Prieto Pariente 2020,Wine Cellar,149,,149,0,,,,,,,,Prieto Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Confines Prieto Pariente 2020.jpg,,0,Region:Castilla y León; Grape Type:Blend Tempranillo/Garnacha/Mourvedre; Serving Temperature:16-18 C; Ageing Process:12 to 14 months in French Oak Barrels; Culinary Recommendations:Roasted Meats - Game - Rich Sauces - Charcuterie,0,new,0,0,0,0,0,,,,,0,0,0,0,
32,1,Prieto Pariente La Provincia 2019,Wine Cellar,88,,88,0,,,,,,,,Prieto Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Prieto Pariente La Provincia 2019.jpg,,0,Region:Castilla y León; Grape Type:Blend of Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Stews - Grilled Meats - Poultry - Spicy Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
33,1,O CHAN de Prieto Pariente  2023 Godello,Wine Cellar,92,,92,0,,,,,,,,Prieto Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/O CHAN de Prieto Pariente  2023 Godello.jpg,,0,Region:Ribeira Sacra; Grape Type:100% Mencia; Serving Temperature:14-16 C; Ageing Process:Stainless Steel Tank; Culinary Recommendations:Pork - Chiken - Grilled Vegetables - Creamy Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
34,1,Prieto Pariente Viognier 2020,Wine Cellar,83,,83,0,,,,,,,,Prieto Pariente,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Prieto Pariente Viognier 2020.jpg,,0,Region:Castilla y León; Grape Type:100% Viognier; Serving Temperature:10-12 C; Ageing Process:Combination of Stainless Steel and Oak; Culinary Recommendations:Seafood - Poultry - Asian Dishes - Light Pasta,0,new,0,0,0,0,0,,,,,0,0,0,0,
35,1,Mauro 2022,Wine Cellar,245,,245,0,,,,,,,,Mauro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Mauro 2022.jpg,,0,Region:CyL; Grape Type:Tempranillo/Cabernet Sauvignon/Merlot; Serving Temperature:16-18 C; Ageing Process:12-14 months in French Oak Barrels; Culinary Recommendations:Grilled Meats - Roasted Lamb - Mature Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
36,1,Mauro VS 2021,Wine Cellar,395,,395,0,,,,,,,,Mauro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Mauro VS 2021.jpg,,0,Region:CyL; Grape Type:Tempranillo/Cabernet Sauvignon/Merlot; Serving Temperature:16-18 C; Ageing Process:16-18 months in French Oak Barrels; Culinary Recommendations:Red Meats - Game - Hearty Stews,0,new,0,0,0,0,0,,,,,0,0,0,0,
37,1,Terreus 2022,Wine Cellar,590,,590,0,,,,,,,,Mauro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Terreus 2022.jpg,,0,Region:CyL; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:18 months in French Oak Barrels; Culinary Recommendations:Grilled Lamb - Roasted Beef - Spicy Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
38,1,Prima 2021,Wine Cellar,85,,85,0,,,,,,,,San Román,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Prima 2021.jpg,,0,Region:Toro; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrel; Culinary Recommendations:Grilled Meats - Tapas - Rich Pasta Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
39,1,San Román 2021,Wine Cellar,220,,220,0,,,,,,,,San Román,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/San Román 2021.jpg,,0,Region:Toro; Grape Type:100% Tinta de Toro (Tempranillo); Serving Temperature:16-18 C; Ageing Process:12 months in French and American Oak Barrels; Culinary Recommendations:Grilled Meats - Hearty Stews - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
40,1,Cartago 2019,Wine Cellar,490,,490,0,,,,,,,,San Román,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Cartago 2019.jpg,,0,Region:Toro; Grape Type:Tinta de Toro/Garnacha; Serving Temperature:16-18 C; Ageing Process:12 months in French and American Oak Barrels; Culinary Recommendations:Grilled Meats - Roasted Vegetables - Rich Sauces,0,new,0,0,0,0,0,,,,,0,0,0,0,
41,1,San Roman Malvasía 2022,Wine Cellar,250,,250,0,,,,,,,,San Román,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/San Roman Malvasía 2022.jpg,,0,Region:Toro; Grape Type:100% Malvasia; Serving Temperature:8-10 C; Ageing Process:Stainless Steel; Culinary Recommendations:Seafood - Salads - Light Pasta Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
42,1,San Roman Garnacha 2021,Wine Cellar,280,,280,0,,,,,,,,San Román,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/San Roman Garnacha 2021.jpg,,0,Region:Toro; Grape Type:100% Garnacha; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Grilled Meats - Tapas - Rich Pasta Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
43,1,Mauro Godello 2023,Wine Cellar,250,,250,0,,,,,,,,Mauro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Mauro Godello 2023.jpg,,0,Region:CyL; Grape Type:100% Godello; Serving Temperature:8-10 C; Ageing Process:Stainless Steel; Culinary Recommendations:Seafood - Grilled Vegetables - Chiken,0,new,0,0,0,0,0,,,,,0,0,0,0,
44,1,Garmón 2020,Wine Cellar,240,,240,0,,,,,,,,Garmón,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Garmón 2020.jpg,,0,Region:Ribera del Duero; Grape Type:Blend Tempranillo/Garnacha; Serving Temperature:16-18 C; Ageing Process:12 months in French Oak Barrels; Culinary Recommendations:Roasted Meats - Aged Cheeses - Hearty Pasta Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
45,1,Baynos Blanco Viura 2021,Wine Cellar,399,,399,0,,,,,,,,Baynos,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Baynos Blanco Viura 2021.jpg,,0,Region:Rioja; Grape Type:100% Viura; Serving Temperature:8-10 C; Ageing Process:Stainless Steel; Culinary Recommendations:Seafood - Salads - Light Pasta Dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
46,1,Baynos Tinto 2021,Wine Cellar,399,,399,0,,,,,,,,Baynos,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Baynos Tinto 2021.jpg,,0,Region:Rioja; Grape Type:Tempranillo Blend; Serving Temperature:16-18 C; Ageing Process:Stainless Steel / Minima Oak; Culinary Recommendations:Grilled Meats - Pasta - Rich Stews,0,new,0,0,0,0,0,,,,,0,0,0,0,
47,1,"Mar de Frades  2022   0,75",Wine Cellar,99,,99,0,,,,,,,,Mar de Frades,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,"/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Mar de Frades  2022   0,75.jpg",,0,Region:Rias Baixas; Grape Type:100% Albarino; Serving Temperature:8-10 C; Ageing Process:Few months on fine Lees in Stainless Steel; Culinary Recommendations:Seafood - Oysters - Octopus - Cured Meats - Spanish Cheeses - Fresh Salads,0,new,0,0,0,0,0,,,,,0,0,0,0,
